Single,Average,Attempt1,Attempt2,Attempt3,Attempt4,Attempt5
8.84,12.01,10.22,13.50,8.84,13.48,12.33
8.86,10.55,8.86,12.83,11.72,9.65,10.29
10.31,12.33,12.45,13.08,10.31,12.68,11.86
9.33,10.56,9.33,13.03,10.46,10.93,10.30
10.03,10.67,10.14,12.06,11.69,10.03,10.18
9.87,11.25,11.42,13.92,10.98,9.87,11.35
8.71,10.67,11.93,8.71,10.80,15.30,9.27
9.70,10.24,9.70,9.77,12.71,9.80,11.15
9.39,11.19,10.14,12.67,11.87,9.39,11.56
10.85,12.19,11.27,14.03,DNF,10.85,11.28
8.56,10.58,10.58,16.53,8.56,10.47,10.70
10.90,12.16,10.90,13.04,10.92,12.51,15.89
10.03,11.72,10.03,10.56,12.61,14.74,12.00
9.21,12.66,13.93,13.83,9.21,15.15,10.23
9.38,10.94,9.38,11.10,11.91,11.25,10.47
10.71,11.62,12.55,15.31,11.48,10.71,10.84
10.48,11.21,10.73,13.24,12.13,10.48,10.77
10.08,11.79,12.91,10.08,10.53,13.81,11.92
10.08,11.22,11.02,12.08,11.58,10.08,11.06
9.85,10.93,11.50,10.21,9.85,11.99,11.09
9.47,13.36,13.45,13.61,9.47,13.55,13.08
10.40,13.92,14.75,14.17,14.69,12.91,10.40
10.89,11.87,10.89,11.03,13.02,12.50,12.07
10.53,15.34,16.69,10.53,21.06,13.09,16.24
11.13,12.08,11.21,12.32,18.61,12.72,11.13
10.62,11.71,10.97,12.49,11.70,10.62,12.45
10.41,13.95,13.58,14.25,14.03,14.71,10.41
11.60,14.15,11.60,13.77,13.56,15.13,DNF
9.51,12.25,11.92,10.86,9.51,13.96,14.19
9.85,12.15,11.86,11.70,9.85,14.21,12.89
10.23,10.72,10.47,13.60,10.23,11.35,10.33
9.94,11.77,12.97,11.95,12.20,9.94,11.17
11.43,12.68,12.44,11.43,17.87,13.57,12.04
12.43,14.61,13.95,13.04,19.00,16.84,12.43
10.75,13.71,18.33,11.68,15.89,13.57,10.75
11.49,13.07,12.17,15.64,12.87,11.49,14.17
12.99,14.59,12.99,14.70,14.50,14.58,15.59
12.22,13.97,13.37,15.74,12.22,16.13,12.79
12.10,12.73,12.46,13.33,19.42,12.40,12.10
10.81,12.20,12.13,12.68,11.79,10.81,16.21
11.87,12.95,12.14,17.52,11.90,14.81,11.87
12.48,14.74,14.15,13.49,18.30,12.48,16.57
12.35,13.55,16.00,12.58,13.30,12.35,14.76
13.82,14.55,17.20,15.37,13.82,14.10,14.17
12.89,13.37,14.06,13.15,12.89,28.23,12.90
14.04,16.55,14.04,20.48,15.13,18.57,15.96
11.88,14.47,11.88,14.74,15.47,14.08,14.58
13.71,16.65,16.51,14.97,13.71,21.65,18.47
11.35,14.20,12.96,14.92,11.35,14.73,16.42
15.97,16.96,21.34,17.13,17.25,15.97,16.51
16.15,17.62,18.08,17.39,1:35.75,16.15,17.38
16.14,17.32,18.85,16.14,16.62,20.19,16.50
12.80,21.54,18.73,29.56,12.80,20.31,25.59
17.17,20.42,17.73,21.53,21.99,28.23,17.17
20.10,25.89,20.10,25.26,23.53,DNF,28.87
